old_path,new_path,year,title,video_id,date
03_Reference/transcripts/20251027-9O1DeU3jwws.txt,03_Reference/transcripts/2025/This Canucks player keeps on SHOCKING everyone [9O1DeU3jwws].txt,2025,This Canucks player keeps on SHOCKING everyone....,9O1DeU3jwws,2025-10-27
03_Reference/transcripts/20251029-NJjqcK9Bh8o.txt,03_Reference/transcripts/2025/How does this POSSIBLY keep happening to the Canucks [NJjqcK9Bh8o].txt,2025,How does this POSSIBLY keep happening to the Canucks??,NJjqcK9Bh8o,2025-10-29
03_Reference/transcripts/20251031-2ngU2uRVePA.txt,03_Reference/transcripts/2025/This Canucks player is genuinely TAKING OVER the NHL [2ngU2uRVePA].txt,2025,This Canucks player is genuinely TAKING OVER the NHL....,2ngU2uRVePA,2025-10-31
03_Reference/transcripts/20251104-xYecXXuzXH8.txt,03_Reference/transcripts/2025/This Canucks player is UNSTOPPABLE against the Predators… [xYecXXuzXH8].txt,2025,This Canucks player is UNSTOPPABLE against the Predators….,xYecXXuzXH8,2025-11-04
03_Reference/transcripts/20251109-FGOQzA5_3fc.txt,03_Reference/transcripts/2025/This Canucks team is EXTREMELY Chaotic [FGOQzA5_3fc].txt,2025,This Canucks team is EXTREMELY Chaotic....,FGOQzA5_3fc,2025-11-09
03_Reference/transcripts/20251110-Lgu57rOTQbw.txt,03_Reference/transcripts/2025/This was the CRAZIEST Canucks game yet [Lgu57rOTQbw].txt,2025,This was the CRAZIEST Canucks game yet....,Lgu57rOTQbw,2025-11-10
03_Reference/transcripts/20251115-TeJY_CGy_yw.txt,03_Reference/transcripts/2025/Canucks fans are NOT happy about this right now [TeJY_CGy_yw].txt,2025,Canucks fans are NOT happy about this right now....,TeJY_CGy_yw,2025-11-15
03_Reference/transcripts/20251117-3USZm0lCIRI.txt,03_Reference/transcripts/2025/This Canucks team REALLY just pulled that off [3USZm0lCIRI].txt,2025,This Canucks team REALLY just pulled that off.....,3USZm0lCIRI,2025-11-17
03_Reference/transcripts/20251118-oYK2Flgyzrc.txt,03_Reference/transcripts/2025/This Canucks team is a complete ROLLERCOASTER of emotions [oYK2Flgyzrc].txt,2025,This Canucks team is a complete ROLLERCOASTER of emotions.....,oYK2Flgyzrc,2025-11-18
03_Reference/transcripts/20251121-4lMLe4qJBuY.txt,03_Reference/transcripts/2025/the Canucks NEED to figure this out [4lMLe4qJBuY].txt,2025,the Canucks NEED to figure this out....,4lMLe4qJBuY,2025-11-21
03_Reference/transcripts/20251127-nNTK2XK52qM.txt,03_Reference/transcripts/2025/The Vancouver Canucks are VERY confusing [nNTK2XK52qM].txt,2025,The Vancouver Canucks are VERY confusing...,nNTK2XK52qM,2025-11-27
03_Reference/transcripts/20251129-VK5cqh3Q6Lg.txt,03_Reference/transcripts/2025/How does the NHL actually allow this to happen [VK5cqh3Q6Lg].txt,2025,How does the NHL actually allow this to happen???,VK5cqh3Q6Lg,2025-11-29
03_Reference/transcripts/20251130-SAgzJ8_oXFc.txt,03_Reference/transcripts/2025/I have NEVER seen an NHL game start like this before [SAgzJ8_oXFc].txt,2025,I have NEVER seen an NHL game start like this before....,SAgzJ8_oXFc,2025-11-30
03_Reference/transcripts/20251203-BBTLC1dKf7g.txt,03_Reference/transcripts/2025/Is THIS the main problem that the Canucks have right now [BBTLC1dKf7g].txt,2025,Is THIS the main problem that the Canucks have right now???,BBTLC1dKf7g,2025-12-03
03_Reference/transcripts/20251206-K84vAj52yVg.txt,03_Reference/transcripts/2025/What should the Vancouver Canucks do now [K84vAj52yVg].txt,2025,What should the Vancouver Canucks do now??,K84vAj52yVg,2025-12-06
03_Reference/transcripts/20251207-XWK2K9QxcqA.txt,03_Reference/transcripts/2025/This Canucks prospect just TOOK OVER the game [XWK2K9QxcqA].txt,2025,This Canucks prospect just TOOK OVER the game....,XWK2K9QxcqA,2025-12-07
03_Reference/transcripts/20251212-e-j7D4ZbEp0.txt,03_Reference/transcripts/2025/Things have NEVER looked worse for the Canucks this season [e-j7D4ZbEp0].txt,2025,Things have NEVER looked worse for the Canucks this season....,e-j7D4ZbEp0,2025-12-12
03_Reference/transcripts/20251213-40ddqCxn8sg.txt,03_Reference/transcripts/2025/The Canucks just SHOCKED the entire NHL today [40ddqCxn8sg].txt,2025,The Canucks just SHOCKED the entire NHL today....,40ddqCxn8sg,2025-12-13
03_Reference/transcripts/20251214-5DyxfKZ7Q1E.txt,03_Reference/transcripts/2025/The Vancouver Canucks have a BRAND NEW look [5DyxfKZ7Q1E].txt,2025,The Vancouver Canucks have a BRAND NEW look...,5DyxfKZ7Q1E,2025-12-14
03_Reference/transcripts/20251217-uPLnhvXBC48.txt,03_Reference/transcripts/2025/This NEW Canucks player looks VERY promising [uPLnhvXBC48].txt,2025,This NEW Canucks player looks VERY promising...,uPLnhvXBC48,2025-12-17
03_Reference/transcripts/20251220-vn5j8wX91nc.txt,03_Reference/transcripts/2025/The Canucks are the most CONFUSING team in the NHL [vn5j8wX91nc].txt,2025,The Canucks are the most CONFUSING team in the NHL....,vn5j8wX91nc,2025-12-20
03_Reference/transcripts/20251221-YITXrHbc2ko.txt,03_Reference/transcripts/2025/Are the Vancouver Canucks back ALREADY [YITXrHbc2ko].txt,2025,Are the Vancouver Canucks back ALREADY??,YITXrHbc2ko,2025-12-21
03_Reference/transcripts/20251223-3S78hCqOUWM.txt,03_Reference/transcripts/2025/The Vancouver Canucks have to DECIDE what they want to do here [3S78hCqOUWM].txt,2025,The Vancouver Canucks have to DECIDE what they want to do here....,3S78hCqOUWM,2025-12-23
03_Reference/transcripts/20251230-ddUGIG-joSE.txt,03_Reference/transcripts/2025/The Canucks are BAFFLING to watch this season [ddUGIG-joSE].txt,2025,The Canucks are BAFFLING to watch this season....,ddUGIG-joSE,2025-12-30
03_Reference/transcripts/20260110-5bejrXgt0DM.txt,03_Reference/transcripts/2026/Why the Canucks MUST draft Gavin McKenna [5bejrXgt0DM].txt,2026,Why the Canucks MUST draft Gavin McKenna....,5bejrXgt0DM,2026-01-10
03_Reference/transcripts/20260113-N5-LIV1UyHA.txt,03_Reference/transcripts/2026/This player is becoming the GREATEST Swedish Prospect of all time [N5-LIV1UyHA].txt,2026,This player is becoming the GREATEST Swedish Prospect of all time....,N5-LIV1UyHA,2026-01-13
03_Reference/transcripts/20260121-IpYEJh2m4Ys.txt,03_Reference/transcripts/2026/This kid is being called one of the BEST D-man Prospects in the last 25 YEARS [IpYEJh2m4Ys].txt,2026,This kid is being called one of the BEST D-man Prospects in the last 25 YEARS....,IpYEJh2m4Ys,2026-01-21
03_Reference/transcripts/20260128-XXNxausshDg.txt,03_Reference/transcripts/2026/This prospect is the DARKHORSE to go 1st Overall in the 2026 NHL Draft [XXNxausshDg].txt,2026,This prospect is the DARKHORSE to go 1st Overall in the 2026 NHL Draft....,XXNxausshDg,2026-01-28
03_Reference/transcripts/20260219-ZeuPu879hg8.txt,03_Reference/transcripts/2026/The 2026 Olympics just left me SPEECHLESS [ZeuPu879hg8].txt,2026,The 2026 Olympics just left me SPEECHLESS....,ZeuPu879hg8,2026-02-19
03_Reference/transcripts/20260222-8FPDa6-_WRQ.txt,03_Reference/transcripts/2026/I have NEVER heard a story like this ever in my life [8FPDa6-_WRQ].txt,2026,I have NEVER heard a story like this ever in my life....,8FPDa6-_WRQ,2026-02-22
03_Reference/transcripts/20260308-bS6KHGnewJI.txt,03_Reference/transcripts/2026/This TOP prospect would fit PERFECTLY on the Canucks [bS6KHGnewJI].txt,2026,This TOP prospect would fit PERFECTLY on the Canucks...,bS6KHGnewJI,2026-03-08
